"ArticleNumber","Name","Description","DeliveryStateId"
1008,Irish Pure Premium Trockenfutter,NATÜRLICHES HUNDEFUTTER: 65 % Atlantik-Lachs 32 % Gemüse & Kräuter,2
1002,JOSERA SensiPlus,Hundefutter mit Ente für empfindliche Hunde,2
1017,Biokat's Diamond Care,AKTIVKOHLE: Hergestellt aus einem nachwachsenden Rohstoff,1
1015,Wellness CORE,Getreidefreies Trockenfutter für Hunde mit hohem Fleischanteil,1
1003,bosch Tiernahrung Food,Weizenfrei & Zuckerfrei,3
1004,Happy Dog Hundefutter,Tierärztlich empfohlen bei Futtermittelunverträglichkeiten,1
1006,Eukanuba Hundefutter, mit frischem Huhn,1
1007,Wolfsblut Dark Forest Adult,Wildfleisch ist Hauptbestandteil. ,1
1005,Wolfsblut Wild Duck,Ohne Gluten Mais industriell hergestellten Zucker Soja, 
1009,animonda GranCarno Adult Hundefutter,Inhalt: 1 x Rind pur; 1 x Rind + Herz; 1 x Rind + Huhn;,1
1010,ROYAL CANIN Vet Diet Gastro,Intestinal Low Fat (LF 22) ,
1011,PETS DELI - NATURAL PET FOOD,Extra hoher Fleischanteil mit ausschließlich hochwertigem Kängurufleisch,1
1012,PURINA BENEFUL Original Hundefutter,Hundenahrung für ausgewachsene Hunde: Mit Rind, Gartengemüse & Vitaminen,1
1013,Pedigree Hundefutter,Mit Kalzium, das hilft, gesunde Knochen zu unterstützen. ,1
1014,PURINA BENEFUL,Hochwertige Proteinquelle zur Erhaltung der Muskelmasse während der Gewichtsreduktion,1
1001,Raw Paleo Puppy,Besteht aus verträglichen; komplett getreidefreien Rezepturen.,1
1016,PURINA GOURMET Gold,Nassfutter für ausgewachsene Katzen,3
1018,Catsan Smart Pack,CATSAN Smart Pack ist das einzige Inlay-Pack,1
1019,PeeWee 28 L,2 x 14l,1
1020,iado Katzenklappe,Die Tür steht aus robustem ABS-Kunststoff,3
